Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
31.51,1246784.0,1130623.0,341998.0,460199.0,-18619.0,658733.0,18371.0,-8388608.0
31.512,1246784.0,1130623.0,341998.0,460199.0,-18619.0,658733.0,18371.0,-8388608.0
31.524,1203591.0,1091103.0,318009.0,450111.0,-19040.0,664219.0,-12725.0,-8388608.0
31.526,1179698.0,1091334.0,297526.0,430236.0,-19077.0,686384.0,-10482.0,-8388608.0
31.528,1179698.0,1091334.0,297526.0,430236.0,-19077.0,686384.0,-10482.0,-8388608.0
31.53,1136202.0,1096637.0,300756.0,426756.0,-19069.0,713105.0,-11527.0,-8388608.0
31.532,1136202.0,1096637.0,300756.0,426756.0,-19069.0,713105.0,-11527.0,-8388608.0
31.534,1151370.0,1090369.0,293963.0,443536.0,-18875.0,675836.0,-12849.0,-8388608.0
31.536,1151370.0,1090369.0,293963.0,443536.0,-18875.0,675836.0,-12849.0,-8388608.0
31.538,1160066.0,1115737.0,283979.0,416808.0,-18664.0,681878.0,-11012.0,-8388608.0
31.54,1160066.0,1115737.0,283979.0,416808.0,-18664.0,681878.0,-11012.0,-8388608.0
31.542,1205114.0,1157183.0,242043.0,348146.0,-18498.0,757775.0,16487.0,-8388608.0
31.544,1205114.0,1157183.0,242043.0,348146.0,-18498.0,757775.0,16487.0,-8388608.0
31.546,1168468.0,1116889.0,263885.0,378806.0,-18729.0,752500.0,9334.0,-8388608.0
31.548,1168468.0,1116889.0,263885.0,378806.0,-18729.0,752500.0,9334.0,-8388608.0
31.56,1276433.0,1326419.0,6102.0,198509.0,-18884.0,697283.0,293765.0,-8388608.0
31.563,1265562.0,1242001.0,178998.0,367212.0,-17296.0,690353.0,375473.0,-8388608.0
31.565,1255121.0,1135760.0,393056.0,526891.0,-18111.0,649718.0,21438.0,-8388608.0
31.567,1255121.0,1135760.0,393056.0,526891.0,-18111.0,649718.0,21438.0,-8388608.0
31.569,1214107.0,1113349.0,360220.0,479664.0,-18343.0,642336.0,-10255.0,-8388608.0
31.571,1214107.0,1113349.0,360220.0,479664.0,-18343.0,642336.0,-10255.0,-8388608.0
31.573,1192491.0,1097596.0,323906.0,493859.0,-19367.0,633510.0,-9476.0,-8388608.0
31.575,1192491.0,1097596.0,323906.0,493859.0,-19367.0,633510.0,-9476.0,-8388608.0
31.577,1184621.0,1096256.0,296884.0,439574.0,-19184.0,667922.0,-9844.0,-8388608.0
31.579,1184621.0,1096256.0,296884.0,439574.0,-19184.0,667922.0,-9844.0,-8388608.0
31.581,1177906.0,1091243.0,298198.0,441296.0,-18094.0,690971.0,-10274.0,-8388608.0
31.583,1177906.0,1091243.0,298198.0,441296.0,-18094.0,690971.0,-10274.0,-8388608.0
31.585,1189054.0,1085196.0,278548.0,487984.0,-17381.0,715167.0,-8284.0,-8388608.0
31.587,1189054.0,1085196.0,278548.0,487984.0,-17381.0,715167.0,-8284.0,-8388608.0
31.599,1236624.0,1176953.0,206681.0,344016.0,-17692.0,673956.0,-6979.0,-8388608.0
31.601,1239274.0,1179691.0,307803.0,438339.0,-17552.0,611193.0,-11601.0,-8388608.0
31.603,1239274.0,1179691.0,307803.0,438339.0,-17552.0,611193.0,-11601.0,-8388608.0
31.605,1234666.0,1139381.0,381351.0,492621.0,-19276.0,637502.0,1726.0,-8388608.0
31.607,1234666.0,1139381.0,381351.0,492621.0,-19276.0,637502.0,1726.0,-8388608.0
31.609,1230504.0,1147467.0,319744.0,491461.0,-18493.0,661553.0,68327.0,-8388608.0
31.611,1230504.0,1147467.0,319744.0,491461.0,-18493.0,661553.0,68327.0,-8388608.0
31.613,1226981.0,1111326.0,327199.0,478921.0,-19274.0,662626.0,12442.0,-8388608.0
31.615,1226981.0,1111326.0,327199.0,478921.0,-19274.0,662626.0,12442.0,-8388608.0
31.617,1180668.0,1101646.0,353886.0,457079.0,-18147.0,651342.0,-13116.0,-8388608.0
31.619,1180668.0,1101646.0,353886.0,457079.0,-18147.0,651342.0,-13116.0,-8388608.0
31.621,1180386.0,1123123.0,330600.0,461458.0,-18343.0,633459.0,-2883.0,-8388608.0
31.623,1180386.0,1123123.0,330600.0,461458.0,-18343.0,633459.0,-2883.0,-8388608.0
31.635,1228293.0,1132989.0,391969.0,529849.0,-18195.0,670223.0,-11166.0,-8388608.0
31.637,1224828.0,1120490.0,368143.0,482381.0,-18360.0,700827.0,-15417.0,-8388608.0
31.639,1224828.0,1120490.0,368143.0,482381.0,-18360.0,700827.0,-15417.0,-8388608.0
31.641,1157216.0,1095138.0,307109.0,433968.0,-18515.0,699576.0,-15129.0,-8388608.0
31.643,1157216.0,1095138.0,307109.0,433968.0,-18515.0,699576.0,-15129.0,-8388608.0
31.645,1143020.0,1070015.0,270698.0,423556.0,-18611.0,703735.0,-11851.0,-8388608.0
31.647,1143020.0,1070015.0,270698.0,423556.0,-18611.0,703735.0,-11851.0,-8388608.0
31.649,1193763.0,1071775.0,271687.0,408477.0,-19067.0,714646.0,-9872.0,-8388608.0
31.651,1193763.0,1071775.0,271687.0,408477.0,-19067.0,714646.0,-9872.0,-8388608.0
31.653,1196666.0,1114044.0,269544.0,410854.0,-17731.0,694383.0,833.0,-8388608.0
31.655,1196666.0,1114044.0,269544.0,410854.0,-17731.0,694383.0,833.0,-8388608.0
31.657,1280803.0,1298046.0,32656.0,377998.0,-18119.0,663919.0,215833.0,-8388608.0
31.659,1280803.0,1298046.0,32656.0,377998.0,-18119.0,663919.0,215833.0,-8388608.0
