Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
0,3320.494,3317.608,3321.485,12623.936,7447.616,7029.312,7883.2,10506.43,54:26.9,0
1,5954.472,5954.149,5958.788,12623.962,12352.09,12138.842,13402.304,10505.703,54:27.1,0
2,3854.206,3851.064,3856.229,12623.915,14435.883,13526.571,14765.504,10496.73,54:27.2,0
3,3668.873,3667.065,3604.87,12623.946,12152.906,11942.474,12886.72,10508.263,54:27.4,0
4,5954.412,5953.847,5958.58,12623.953,12530.257,12088.145,13346.496,10502.097,54:27.5,0
5,3053.142,3049.369,3054.514,12623.913,7627.049,6734.377,7835.584,10499.02,54:27.7,0
6,4630.393,4629.396,4632.975,12623.957,11030.357,10992.213,12075.968,10509.03,54:27.8,0
7,5499.468,5498.224,5503.069,12623.939,11049.283,10330.435,11691.712,10498.495,54:28.0,0
8,2654.843,2651.249,2655.576,12623.919,10461.999,9783.343,10654.912,10502.569,54:28.2,0
9,5405.362,5404.82,5408.957,12623.962,8886.362,8752.218,9947.328,10507.928,54:28.3,1
10,4679.623,4644.273,4649.616,12623.923,7496.754,10721.33,12096.704,10495.682,54:28.5,0
11,2736.502,2737.575,2741.464,12623.93,10263.354,10324.538,11238.336,10505.637,54:28.6,0
12,5814.909,5815.152,5819.768,12623.959,10728.279,10580.055,11816.64,10504.671,54:28.8,0
13,3530.827,3527.26,3532.876,12623.91,16289.318,15301.158,16612.032,10495.705,54:28.9,0
14,3525.772,3523.74,3527.321,12623.945,15312.713,15106.121,16075.968,10508.214,54:29.1,0
15,5865.162,5864.302,5869.195,12623.95,9742.926,9192.014,10523.328,10501.002,54:29.3,0
16,2739.843,2735.962,2741.169,12623.908,12812.068,11895.844,13003.968,10498.177,54:29.4,1
17,4482.723,4481.461,4485.031,12623.956,6446.932,6335.572,7449.792,10508.669,54:29.6,0
18,5341.009,5339.256,5344.461,12623.935,7428.415,6640.959,8039.616,10497.367,54:29.7,0
19,2376.553,2405.487,2410.155,12623.916,8227.884,11678.252,12623.808,10501.975,54:29.9,0
20,5356.889,5360.435,5315.422,12623.961,11952.985,12392.793,15684.288,10507.653,54:30.0,0
21,4509.51,4507.462,4514.677,12623.921,8226.864,15736.112,550.848,10495.386,54:30.2,0
22,2676.163,2681.403,2685.52,12623.93,8822.074,9450.81,10393.536,10505.633,54:30.3,0
23,5805.251,5805.959,5810.616,12623.959,6609.751,6518.103,7758.528,10504.557,54:30.5,0
24,3518.162,3514.704,3520.07,12623.91,11517.99,10510.63,11822.016,10495.614,54:30.7,0
25,3511.689,3509.638,3512.967,12623.945,14199.881,13990.729,14963.648,10508.211,54:30.8,0
26,5886.864,5885.987,5890.959,12623.95,11506.766,10978.126,12358.848,10500.99,54:31.0,1
27,2731.121,2726.993,2732.379,12623.908,12293.924,11377.956,12478.912,10498.233,54:31.1,0
28,4486.51,4485.436,4489.068,12623.956,7042.9,6955.86,8078.784,10508.712,54:31.3,0
29,5405.004,5403.51,5408.701,12623.936,10916.16,10131.776,11560.128,10497.447,54:31.4,0
30,2391.605,2387.828,2392.473,12623.916,7095.084,6386.988,7297.728,10502.058,54:31.6,0
31,4174.451,12623.953,14312.273,14245.201,15228.096,10508.764,9394.651,6314.477,54:31.7,0
32,5628.08,5626.971,5631.852,12623.941,16174.917,15482.181,90.56,10498.477,54:31.9,0
33,2463.3,2459.276,2464.145,12624.071,6193.146,6922.996,8496.576,10547.325,54:32.0,0
34,938.946,15644.76,11306.955,12623.917,4617.501,7838.204,8479.168,10504.056,54:32.2,0
35,5608.358,5349.273,4829.339,12623.957,12568.915,12742.223,13982.144,10504.387,54:32.3,0
36,3510.686,3442.07,3381.909,12623.91,13456.677,12491.045,13743.04,10495.476,54:32.5,0
37,3409.262,3472.764,3410.506,12623.944,14959.432,14783.56,15680.96,10507.957,54:32.6,1
38,5826.945,5826.243,5831.014,12623.95,10314.83,9814.35,11102.656,10500.962,54:32.8,0
39,2772.61,2752.114,2691.904,12623.908,10190.372,15493.156,16659.648,10497.937,54:32.9,0
40,4421.709,4426.802,4430.348,12623.956,5533.78,6237.524,7345.344,10508.879,54:33.1,0
41,5456.947,5456.276,5461.371,12623.937,6766.145,6124.353,7510.208,10497.405,54:33.3,0
42,2345.564,2342.004,2346.66,12623.914,12022.826,11298.346,12277.184,10501.542,54:33.4,0
43,11222.446,6733.984,5284.194,5283.713,5287.766,12623.961,7554.905,7424.857,54:33.5,0
44,5610.364,5609.07,5614.18,12623.942,13257.542,12556.358,13931.712,10498.712,54:33.7,1
45,2476.679,2472.541,2477.389,12623.911,12664.615,11824.935,12820.16,10500.336,54:33.8,0
46,5034.593,5033.831,5037.73,12623.96,16009.304,15887.192,296.384,10508.539,54:34.0,0
47,4916.562,4980.059,4919.651,12623.927,13720.887,12881.463,14233.28,10495.97,54:34.1,0
48,2468.926,2465.399,2469.422,12623.922,14435.89,13862.706,14761.152,10503.915,54:34.3,0
49,5621.134,5620.88,5625.146,12623.961,13870.937,13679.449,14897.344,10506.124,54:34.4,0
50,4031.673,4028.529,4033.901,12623.914,13740.586,12730.666,14042.816,10494.971,54:34.6,0
51,2989.224,2986.669,2990.158,12623.937,14317.633,14007.105,14895.296,10506.967,54:34.8,0
52,5879.935,5879.481,5883.955,12623.955,12104.275,11767.379,12999.36,10502.808,54:34.9,1
53,3118.422,3114.564,3119.956,12623.908,6590.5,13972.772,15222.464,10496.395,54:35.1,0
54,3913.874,3920.273,3923.871,12623.95,11557.454,12406.862,13473.728,10508.512,54:35.2,0
55,5676.149,5675.823,5680.821,12623.944,8616.776,8087.624,9483.712,10499.254,54:35.4,0
56,2526.021,2522.19,2527.156,12623.911,5984.55,13511.718,14571.712,10499.714,54:35.5,0
57,4902.251,4909.666,4913.528,12623.959,10530.391,11500.631,12677.056,10508.486,54:35.7,0
58,5084.797,5083.753,5089.122,12623.929,9205.049,8472.121,9922.752,10496.104,54:35.9,0
59,2409.865,2406.315,2410.8,12623.92,11640.112,11038.768,11959.744,10503.373,54:36.0,0
60,5544.536,5544.332,5548.415,12623.961,8533.081,8436.825,9596.352,10506.614,54:36.2,1
61,4179.305,4176.249,4181.667,12623.916,7768.364,15184.172,16551.104,10494.904,54:36.3,0
62,2853.307,2858.813,2862.472,12623.934,12892.222,13597.246,14517.952,10506.466,54:36.5,0
63,5887.312,5887.878,5892.666,12623.957,15550.805,15314.261,16610.496,10503.578,54:36.7,0
64,3236.488,3265.668,3270.971,12623.909,6581.541,9783.077,10980.544,10496.177,54:36.8,0
65,3765.321,3767.668,3770.979,12623.949,5268.045,5596.493,6572.48,10508.444,54:36.9,0
