Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
40,4154.454,4152.894,4188.758,12623.952,11300.944,11171.664,16356.8,10508.944,50:40.8,0
41,5868.194,5867.337,5876.334,12623.949,8289.101,7745.869,9611.456,10500.952,50:40.9,0
42,2967.896,2980.748,2887.846,12623.916,8341.036,9667.884,14913.472,10500.692,50:41.1,0
43,5004.585,5022.542,5030.299,12623.961,5796.697,8136.281,9748.672,10509.16,50:41.2,0
44,5350.053,5350.458,5356.25,12623.936,6776.383,14640.703,16091.584,10498.135,50:41.4,0
45,2854.26,2793.882,2798.134,12623.925,13715.764,14270.004,15095.232,10504.089,50:41.6,0
46,5687.618,5688.667,5692.792,12623.963,14496.859,14565.211,15771.84,10507.75,50:41.7,1
47,4557.656,4522.379,4527.775,12623.923,9651.763,12958.771,14261.184,10496.873,50:41.9,0
48,3234.379,3236.001,3239.278,12623.938,4233.026,12799.81,13646.272,10507.091,50:42.0,0
49,5987.736,5996.104,6000.777,12623.96,10594.904,11431.256,12689.6,10504.904,50:42.2,0
50,3662.472,3660.343,3665.558,12623.915,8830.507,16482.603,893.376,10497.399,50:42.3,0
51,3977.083,3983.908,3987.09,12623.95,10844.238,11752.782,12732.096,10508.741,50:42.5,0
52,5945.734,5946.028,5950.879,12623.951,14108.751,13740.879,15036.096,10501.603,50:42.6,0
53,3073.138,3069.542,3074.487,12623.915,13188.395,12344.875,13355.968,10500.005,50:42.8,0
54,4882.006,4881.058,4884.614,12623.96,6248.28,6143.576,7240.384,10509.21,50:43.0,1
55,5491.852,5490.026,5495.165,12623.938,12796.738,12030.53,13402.304,10498.54,50:43.1,0
56,2798.459,2794.929,2799.17,12623.922,15512.37,14857.522,15743.424,10503.356,50:43.3,0
57,5541.062,5540.533,5544.79,12623.963,13591.387,13479.003,14700.992,10507.941,50:43.4,0
58,4703.286,4700.523,4705.878,12623.925,14516.277,13592.885,14972.608,10496.705,50:43.6,0
59,3073.625,3070.846,3074.409,12623.935,12609.599,12235.839,13061.312,10506.616,50:43.7,0
60,5989.241,5989.023,5993.542,12623.961,8358.489,8161.369,9396.672,10505.424,50:43.9,0
61,3835.034,3798.928,3738.762,12623.916,9856.044,13138.22,14373.568,10497.206,50:44.0,0
62,3846.497,3848.799,3852.121,12623.948,10436.428,10758.732,11693.76,10508.647,50:44.2,0
63,6001.569,6001.567,6006.418,12623.953,9666.641,9259.601,10583.488,10502.237,50:44.4,0
64,3166.554,3113.604,3118.751,12623.915,7814.954,9005.866,10070.72,10499.416,50:44.5,1
65,4677.57,4678.741,4682.139,12623.958,10856.79,11098.966,12159.168,10509.22,50:44.7,0
66,5608.087,5606.987,5612.133,12623.941,9198.661,8546.373,9918.656,10498.962,50:44.8,0
67,2794.554,2791.067,2795.408,12623.92,12145.968,11491.12,12359.616,10502.619,50:45.0,0
68,5412.532,5412.168,5415.875,12623.963,7831.387,7765.595,8879.552,10508.481,50:45.1,0
69,4907.808,4905.665,4910.76,12623.928,12680.248,11839.032,13202.112,10496.977,50:45.3,0
70,2998.453,2995.547,2999.153,12623.932,7655.74,15624.508,16464.576,10505.819,50:45.5,0
71,5873.302,5881.424,5885.799,12623.962,11825.242,12736.346,13976.768,10506.148,50:45.6,0
72,4048.453,4046.375,4051.833,12623.917,11947.565,11171.885,12420.544,10496.911,50:45.8,1
