Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
0,3721.877,3718.504,3723.668,12623.916,12148.012,11227.948,12368.32,10497.677,50:34.6,0
1,4047.444,4045.892,4048.977,12623.951,15891.791,15763.535,16739.008,10509.035,50:34.7,0
2,5960.052,5959.292,5898.577,12623.95,14116.942,13602.382,14901.44,10501.336,50:34.9,0
3,3002.251,2998.652,3003.502,12623.915,13935.659,13139.243,14130.112,10500.348,50:35.0,0
4,4853.834,4853.3,4856.629,12623.96,11699.032,11678.296,12751.296,10509.166,50:35.2,0
5,5400.933,5415.738,5420.971,12623.937,6373.441,7694.401,9080.256,10498.238,50:35.4,0
6,2783.634,2782.319,2753.625,12623.923,9986.867,9664.563,14657.472,10503.588,50:35.5,0
7,5613.626,5613.631,5621.953,12623.963,11107.931,11088.219,12832.96,10507.971,50:35.7,1
8,4618.558,4648.844,4589.252,12623.924,5397.3,281.908,1733.568,10496.648,50:35.8,0
9,3117.903,3127.647,3131.041,12623.936,7096.64,8339.264,9153.728,10506.657,50:36.0,0
10,5944.467,5945.718,5950.15,12623.96,13676.376,13646.168,14911.168,10505.199,50:36.1,0
11,3774.329,3771.185,3776.574,12623.916,8089.644,7178.284,8403.648,10497.376,50:36.3,0
12,3897.935,3896.189,3899.512,12623.949,9788.237,9664.333,10582.72,10508.762,50:36.5,0
13,5936.735,5936.013,5940.897,12623.952,10705.232,10188.112,11556.544,10501.823,50:36.6,0
14,3064.676,3060.902,3065.991,12623.915,8867.627,8020.011,9062.08,10499.734,50:36.8,0
15,4772.954,4772.025,4775.484,12623.959,9191.511,9097.559,10176.448,10509.236,50:36.9,0
16,5556.542,5555.016,5560.163,12623.939,14584.131,13867.843,15243.456,10498.788,50:37.1,1
17,2858.927,2855.592,2859.85,12623.922,10792.754,10182.706,11041.728,10503.282,50:37.2,0
18,5555.284,5555.06,5558.926,12623.963,14580.571,14523.739,15696.576,10508.236,50:37.4,0
19,4829.545,4826.953,4832.441,12623.927,8674.359,7745.847,9149.12,10497.181,50:37.6,0
20,3128.998,3126.346,3129.925,12623.935,8440.895,8074.303,8862.912,10506.384,50:37.7,0
21,5942.439,5942.409,5946.681,12623.962,14651.994,14444.378,15673.28,10505.883,50:37.9,0
22,3975.332,3972.278,3977.632,12623.918,12934.446,12022.574,13268.672,10497.256,50:38.0,0
23,3737.143,3800.949,3738.5,12623.947,13654.603,13524.555,14385.088,10508.451,50:38.2,0
24,5995.914,5995.643,6000.221,12623.954,10528.85,10173.01,11430.08,10502.583,50:38.3,1
25,3200.375,3196.82,3201.884,12623.914,16030.762,15178.026,16211.648,10499.261,50:38.5,0
26,4623.263,4622.203,4625.476,12623.957,11389.781,11352.149,12358.592,10509.232,50:38.6,0
27,5682.228,5680.982,5685.886,12623.942,11235.91,10575.942,11887.04,10499.216,50:38.8,0
28,2808.26,2804.783,2809.198,12623.92,9944.368,9311.28,10192.064,10502.565,50:39.0,0
29,410.028,10207.392,5426.581,5426.295,5430.171,12623.963,14388.571,14311.771,50:39.1,0
30,5867.592,5866.582,5871.522,12623.948,8157.516,7546.444,8891.84,10500.549,50:39.2,0
31,2943.854,2940.047,2944.842,12623.917,9086.509,16695.597,877.76,10501.231,50:39.4,1
32,5156.774,5164.42,5168.039,12623.962,7182.938,8224.858,9348.032,10509.156,50:39.5,0
33,5287.213,5286.317,5291.672,12623.934,7882.046,7183.166,8604.864,10497.718,50:39.7,0
34,2870.956,2867.868,2871.917,12623.927,8625.719,8084.022,565.696,10504.571,50:39.8,0
35,5725.852,5725.823,5738.086,12623.963,8678.491,8620.379,10839.232,10507.454,50:40.0,0
36,4497.319,4494.738,4500.848,12623.922,14597.17,13674.034,15087.296,10496.513,50:40.1,0
37,3326.36,3323.999,3327.595,12623.94,13272.388,12989.764,13865.408,10507.387,50:40.3,0
38,5998.267,5997.918,6002.539,12623.959,9863.511,9524.055,10845.376,10504.331,50:40.5,1
39,3582.675,3578.99,3584.283,12623.915,9549.867,8601.131,9777.344,10497.943,50:40.6,0
