Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
31,2926.394,2925.64,2930.018,12623.938,12943.682,12805.954,13991.872,10507.197,02:14.5
32,5753.252,5752.721,5757.349,12623.949,11389.005,11048.269,12107.456,10500.545,02:14.6
33,2477.991,2474.581,2478.767,12623.901,11452.957,10457.373,11579.328,10495.902,02:14.8
34,3965.314,3963.285,3967.572,12623.951,9136.719,8874.831,10053.312,10508.195,02:14.9
35,10901.426,8568.992,5357.202,5356.139,5360.265,12623.935,12289.599,11766.847,02:15.0
36,2804.077,2800.746,2805.137,12623.902,15155.23,14174.494,15301.056,10494.916,02:15.2
37,3578.447,3576.211,3580.555,12623.947,13908.555,13670.987,14849.216,10508.181,02:15.4
38,5595.43,5594.72,5566.314,12623.941,11607.365,11176.26,16403.136,10497.97,02:15.5
39,2085.209,2081.572,2090.071,12623.903,11616.287,10699.039,12353.728,10498.222,02:15.7
40,4642.172,4640.817,4645.789,12623.957,11307.093,11157.077,12413.12,10507.954,02:15.8
41,4831.625,4829.825,4834.193,12623.924,13155.38,12418.868,13525.952,10494.648,02:16.0
42,1950.546,1946.553,1951.091,12623.914,9061.418,8302.634,9411.264,10502.27,02:16.3
43,5411.122,5410.412,5415.292,12623.96,8750.168,8606.04,9790.656,10506.381,02:16.3
44,3984.02,3981.649,3985.738,12623.911,7903.014,15411.238,16480.96,10493.568,02:16.5
45,2525.076,2529.831,2534.068,12623.931,8427.323,8933.179,10075.84,10505.935,02:16.6
46,5736.282,5736.812,5741.445,12623.954,9994.066,9859.154,10927.552,10502.251,02:16.8
47,2802.538,2799.412,2803.885,12623.902,7699.997,15160.349,16299.968,10494.613,02:16.9
48,3510.853,3451.179,3455.403,12623.946,7896.65,8658.506,9851.584,10507.922,02:17.1
49,5549.684,5549.981,5554.315,12623.941,12077.637,11753.797,12811.968,10498.161,02:17.2
50,2131.345,2078.589,2083.024,12623.903,6729.503,7905.567,9009.344,10497.98,02:17.4
51,4555.877,4556.464,4560.947,12623.956,8813.396,8880.98,10108.608,10507.952,02:17.5
52,4901.838,4900.518,4904.844,12623.925,11830.325,11164.725,12294.08,10494.683,02:17.7
53,1963.157,1959.529,1963.834,12623.913,16492.329,15771.433,38.592,10502.083,02:17.9
54,5348.746,5347.994,5352.613,12623.959,7713.879,7564.375,8687.808,10506.08,02:18.0
55,3895.427,3893.13,3897.27,12623.91,13145.382,12279.846,13352.896,10493.339,02:18.2
56,2480.731,2477.446,2481.568,12623.93,12081.466,11551.802,12677.312,10505.932,02:18.3
57,5750.173,5749.58,5754.203,12623.954,11905.362,11635.026,12734.912,10502.599,02:18.5
58,2865.876,2862.522,2866.752,12623.902,14666.014,13674.27,14783.168,10494.402,02:18.6
59,3452.524,3450.024,3454.339,12623.945,13080.905,12736.329,13939.904,10507.973,02:18.8
60,5627.803,5627,5631.349,12623.942,15101.51,14645.318,15703.744,10498.192,02:18.9
61,2140.215,2136.484,2157.175,12623.903,8807.967,7830.303,11048.64,10497.705,02:19.1
62,4493.233,4491.865,4498.333,12623.956,10576.724,10396.244,11847.36,10508.16,02:19.3
63,4968.631,4967.107,4971.465,12623.926,13266.742,12548.918,13678.528,10494.865,02:19.4
64,1931.629,1927.806,1932.177,12623.913,10247.977,9460.265,10577.856,10502.055,02:19.6
65,8404.914,6865.056,5339.511,5338.746,5343.366,12623.959,10055.255,9875.543,02:19.7
66,5232.01,5230.694,5234.795,12623.932,8410.427,16210.747,486.08,10495.827,02:19.8
67,1939.848,1895.068,1899.215,12623.909,6450.212,357.924,1411.008,10500.485,02:20.0
68,5083.218,5093.461,5098.101,12623.959,9775.191,11102.295,12288.448,10507.111,02:20.1
69,4303.269,4302.739,4306.77,12623.916,12224.044,11640.108,12687.808,10493.601,02:20.3
70,2217.875,2214.698,2218.829,12623.923,15118.387,14506.547,15613.632,10504.653,02:20.5
71,5688.639,5688.162,5692.828,12623.957,16146.005,15944.277,291.264,10503.826,02:20.6
72,3194.745,3208.303,3147.084,12623.904,8211.232,9401.631,2109.888,10493.643,02:20.8
73,3061.96,3061.164,3073.562,12623.94,9989.956,9866.052,12086.976,10507.424,02:20.9
74,5740.706,5740.092,5745.802,12623.947,8282.443,7901.771,9131.712,10499.687,02:21.1
75,2313.079,2342.319,2346.834,12623.901,9530.653,12759.837,13921.216,10496.444,02:21.2
