Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,4486.765,4489.869,4493.951,12623.956,13068.884,13475.668,14637.76,10509.046,02:09.7
1,5439.872,5504.873,5443.43,12623.936,1219.136,734.272,1799.616,10497.196,02:09.8
2,8727.728,10010.784,2262.658,2259.1,2263.415,12623.912,7446.568,6640.168,02:10.0
3,3890.113,3887.963,3892.358,12623.95,9943.63,9663.822,10855.872,10508.49,02:10.1
4,5602.939,5601.887,5507.984,12623.941,8865.605,8361.285,13648.832,10498.396,02:10.3
5,2312.975,2325.613,2235.765,12623.909,6062.629,7304.74,13067.712,10499.684,02:10.4
6,4883.795,4884.823,4893.785,12623.959,10168.663,10322.263,12086.464,10508.203,02:10.6
7,4887.39,4886.174,4890.798,12623.926,7158.582,6512.438,7638.464,10495.318,02:10.7
8,2206.518,2202.789,2207.066,12623.919,14231.087,13480.751,14590.4,10503.372,02:10.9
9,5559.602,5558.873,5563.51,12623.959,14124.887,13920.087,15098.304,10505.343,02:11.0
10,3712.348,3726.245,3730.51,12623.909,9733.669,10973.221,12094.4,10493.649,02:11.2
11,2729.429,2728.293,2732.699,12623.934,10789.438,10571.326,11713.984,10506.599,02:11.4
12,5802.583,5802.286,5806.752,12623.953,5922.64,14042.192,15117.504,10501.807,02:11.5
13,2725.018,2729.85,2734.133,12623.902,8754.974,8797.726,9905.344,10495.324,02:11.7
14,3766.363,3765.323,3720.519,12623.949,5865.549,5723.213,9003.2,10508.153,02:11.8
15,5490.979,5490.336,5496.65,12623.939,12072.003,11568.963,12885.44,10497.768,02:12.0
16,2140.303,2136.503,2141.285,12623.906,8021.282,7109.154,8281.792,10498.896,02:12.1
17,4756.846,4771.981,4776.516,12623.958,7226.198,9214.806,10377.152,10507.874,02:12.3
18,4815.709,4816.002,4820.111,12623.924,6237.492,5733.172,6837.44,10494.569,02:12.4
19,2071.431,2067.811,2072.184,12623.917,14262.573,13577.773,14634.176,10503.118,02:12.6
20,5490.595,5490.043,5494.686,12623.959,8298.071,8152.919,9334.208,10505.646,02:12.8
21,3765.402,3763.075,3799.912,12623.909,9094.437,8224.293,13514.944,10493.549,02:12.9
22,2664.372,2661.319,2669.481,12623.933,9480.253,9008.189,10660.032,10506.427,02:13.1
23,5798.751,5798.224,5803.2,12623.953,9207.121,8953.425,10060.736,10501.987,02:13.2
24,2781.28,2777.963,2798.717,12623.902,6715.422,5740.062,8960.192,10494.899,02:13.4
25,3658.914,3656.868,3663.012,12623.948,11838.796,11629.644,13007.296,10508.245,02:13.5
26,5554.78,5554.008,5558.349,12623.94,15685.956,15214.66,16272.832,10497.785,02:13.7
27,13340.475,14614.419,14285.986,12624.114,12659.459,9716.989,11637.696,10486.213,02:13.8
28,1161.057,1483.18,1741.362,12623.914,12350.252,11442.478,11475.392,10503.281,02:14.0
29,5532.53,5548.228,5551.738,12623.957,10716.501,12610.901,13594.304,10504.548,02:14.2
30,3436.471,3386.483,3390.49,12623.906,6184.994,7567.138,8655.808,10493.56,02:14.3
