Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,4384.027,4381.599,4386.36,12623.922,16664.114,15838.002,203.712,10497.498,55:47.7
1,3727.995,3725.892,3729.485,12623.946,10182.73,9986.89,10960.576,10508.209,55:47.8
2,5926.816,5926.423,5931.06,12623.953,6185.809,5778.257,7040.96,10502.304,55:48.0
3,3136.323,3132.535,3137.623,12623.913,11871.273,10919.209,12072.896,10498.509,55:48.1
4,4383.062,4381.834,4385.341,12623.955,10574.163,10467.667,11557.568,10508.715,55:48.3
5,5424.404,5422.934,5428.043,12623.936,9258.816,8545.088,9936.576,10497.165,55:48.4
6,2134.07,2130.059,2134.897,12623.909,8813.861,8030.501,8996.032,10500.03,55:48.6
7,4975.257,4974.73,4978.556,12623.959,12605.783,12482.903,13659.328,10507.7,55:48.8
8,4632.99,4630.384,4635.575,12623.922,9876.786,8940.338,10340.544,10494.587,55:48.9
9,2214.801,2211.176,2215.538,12623.92,15902,15312.432,16232.896,10503.636,55:49.1
10,5557.6,5557.062,5561.476,12623.959,16270.423,16074.327,501.184,10505.432,55:49.2
11,3771.523,3768.249,3773.605,12623.91,10248.486,9198.886,10523.072,10493.837,55:49.4
12,2730.622,2728.026,2731.598,12623.934,7312.446,6985.022,7881.92,10506.425,55:49.5
13,5800.864,5800.116,5804.89,12623.953,12629.329,12164.945,13471.68,10502.03,55:49.7
14,4162.162,4167.749,12623.915,7182.891,6134.827,7564.736,10493.834,8593.274,55:49.8
15,2409.322,2406.231,2410.12,12623.927,12729.143,12281.911,13203.648,10505.19,55:49.9
16,5746.854,5746.495,5751.102,12623.957,10050.389,9727.573,11028.416,10503.839,55:50.1
17,3237.466,3266.433,3272.02,12623.905,10319.649,13392.673,14759.872,10494.122,55:50.3
18,3179.578,3181.138,3184.714,12623.941,11938.117,12211.269,13136.832,10507.45,55:50.4
19,5752.632,5752.363,5757.074,12623.948,15490.636,15029.068,16347.584,10500.306,55:50.6
20,2478.204,2474.078,2479.519,12623.902,16344.094,15370.014,16552.384,10496.499,55:50.7
21,13416.781,4502.896,16041.8,12623.894,7283.43,10314.254,11613.888,10499.434,55:50.9
22,5026.92,3518.862,13604.368,12623.957,14762.57,14581.271,14312.384,10506.443,55:51.0
23,4171.326,3971.733,3123.831,12623.914,14519.593,13453.602,14722.752,10493.882,55:51.2
24,2419.856,2350.903,2289.099,12623.927,16092.214,15605.302,16475.328,10504.966,55:51.3
25,5749.062,5748.788,5753.154,12623.957,14367.573,14050.389,15291.072,10503.903,55:51.5
26,3267.216,3263.269,3269.003,12623.905,16217.377,15109.153,16494.016,10494.134,55:51.7
27,3177.601,3175.084,3178.67,12623.941,12545.605,12231.237,13225.92,10507.456,55:51.8
