Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
63,4487.737,4484.927,4490.393,12623.919,13142.319,12141.615,13535.936,10494.666,49:12.4,0
64,2534.774,2531.741,2535.329,12623.928,11565.368,11120.44,11909.568,10505.324,49:12.6,0
65,5796.972,5796.704,5817.503,12623.959,8863.575,8559.191,11969.216,10504.581,49:12.7,0
66,12107.936,3432.362,3461.472,3469.195,12623.908,9655.844,12800.548,14386.88,49:12.8,0
67,2325.296,2330.19,2334.587,12623.922,5533.234,6045.746,15297.216,10504.102,49:13.0,0
68,5670.448,5671.191,5683.856,12623.96,11419.992,11349.336,13672.896,10505.616,49:13.1,0
69,3790.904,3787.406,3794.305,12623.911,8870.695,16163.623,954.816,10494.407,49:13.3,0
70,2993.741,2999.592,3003.078,12623.938,10587.202,11348.034,12244.416,10507.216,49:13.4,1
71,5888.378,5888.824,5893.537,12623.953,15307.089,14961.745,16338.88,10501.637,49:13.6,0
72,2862.958,2858.907,2864.451,12623.905,12943.137,11901.217,13128.384,10496.207,49:13.8,0
73,3983.052,3981.654,3984.727,12623.951,9886.543,9775.951,10774.976,10508.498,49:13.9,0
74,5563.291,5561.759,5566.884,12623.94,12279.62,11507.268,12936.64,10498.187,49:14.1,0
75,2316.654,2345.289,2350.459,12623.909,12364.325,15737.893,16729.536,10499.805,49:14.2,0
76,4957.536,4961.104,4964.678,12623.959,11702.615,12158.807,13246.912,10508.265,49:14.4,0
77,4888.925,4887.166,4892.537,12623.925,10833.717,10003.509,11419.84,10495.406,49:14.5,0
78,2331.202,2327.748,2331.732,12623.921,11357.745,10856.753,11633.088,10503.788,49:14.7,0
79,5597.81,5597.577,5618.125,12623.96,6506.328,6318.424,9686.976,10505.913,49:14.8,0
80,3855.553,3852.129,3859.914,12623.912,10659.368,9604.136,11262.4,10494.649,49:15.0,0
81,2943.672,2941.361,2944.966,12623.937,10189.633,9932.609,10800.576,10506.942,49:15.2,0
82,5886.041,5885.632,5890.219,12623.954,14512.978,14079.57,15433.92,10502.373,49:15.3,0
