Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
54,2749.029,2745.762,2749.837,12623.927,10309.943,9748.791,10714.816,10504.919,00:52.1
55,5765.959,5765.754,5704.776,12623.962,630.106,474.714,1713.856,10506.496,00:52.3
56,4187.721,4185.006,4189.792,12623.918,10982.958,10123.566,11290.816,10496.142,00:52.4
57,3306.127,3303.775,3307.621,12623.941,12235.589,11896.901,12946.624,10507.691,00:52.6
58,6012.501,6012.092,6016.827,12623.957,7550.548,15626.836,24,10503.329,00:52.8
59,3263.114,3267.902,3272.592,12623.912,15752.488,15891.24,229.568,10497.733,00:52.9
60,4246.885,4246.38,4250.17,12623.953,15563.601,15552.081,16654.272,10508.802,00:53.1
61,5747.553,5746.818,5751.436,12623.945,9733.193,9222.473,10451.648,10499.69,00:53.2
62,2708.582,2705.093,2709.621,12623.915,11816.491,11040.299,12096.192,10501.04,00:53.4
63,5145.172,5144.201,5148.568,12623.961,9403.225,9269.593,10506.944,10508.684,00:53.5
64,5074.087,5072.243,5077.122,12623.93,7961.402,7234.874,8475.072,10496.949,00:53.7
65,2736.283,2732.831,2736.965,12623.926,8479.03,7885.366,8857.792,10504.566,00:53.8
66,5752.695,5752.205,5756.754,12623.962,13587.802,13470.81,14640.832,10506.652,00:54.0
67,4165.529,4162.942,4167.527,12623.918,10396.462,9520.174,10695.872,10496.194,00:54.2
68,3315.53,3313.057,3316.786,12623.941,7949.637,7621.701,8591.296,10507.645,00:54.3
69,6017.36,6016.862,6021.439,12623.957,14109.525,13797.205,14977.728,10503.393,00:54.5
70,3270.798,3267.404,3272.025,12623.911,307.495,16136.231,470.976,10497.69,00:54.6
