Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,3324.481,3321.433,3326.279,12623.914,12205.866,11378.474,12485.056,10498.76,00:43.8
1,4489.796,4488.354,4492.397,12623.956,6381.14,6252.116,7429.824,10509.155,00:44.0
2,5594.494,5593.208,5598.103,12623.941,8605.765,7974.469,9264.832,10498.699,00:44.1
3,2657.984,2654.553,2658.901,12623.917,13066.285,12357.677,13332.416,10502.032,00:44.3
4,5347.724,5347.16,5351.339,12623.962,9737.306,9661.274,10843.072,10508.385,00:44.4
5,4883.051,4831.857,4836.723,12623.926,13848.63,15170.614,16420.288,10496.463,00:44.6
6,2814.995,2814.003,2752.566,12623.93,15360.314,15108.922,16078.272,10505.71,00:44.8
7,5884.574,5884.505,5889.115,12623.961,12480.857,12358.745,13539.776,10505.681,00:44.9
8,3855.22,3852.165,3857.059,12623.915,14963.243,14072.107,15236.8,10496.481,00:45.1
9,3600.775,3598.675,3602.229,12623.945,10988.105,10715.209,11749.568,10508.258,00:45.2
10,5953.415,5952.928,5957.658,12623.953,13650.257,13259.601,14452.672,10501.819,00:45.4
11,2989.685,2986.063,2990.744,12623.911,13859.367,12999.463,14045.632,10498.515,00:45.5
12,4503.88,4502.589,4506.548,12623.956,10895.7,10784.852,11956.928,10509.005,00:45.7
13,5550.208,5548.962,5553.762,12623.94,9205.06,8540.228,9784.512,10498.513,00:45.8
14,2679.746,2676.312,2680.646,12623.919,8767.79,16464.174,692.16,10502.351,00:46.0
15,5371.554,5313.621,5317.998,12623.962,16609.882,759.386,2000.32,10508.249,00:46.2
16,4760.717,4759.439,4764.315,12623.925,13335.861,12626.741,13873.6,10496.385,00:46.3
17,2916.949,2930.319,2934.193,12623.932,11641.148,13274.172,14255.04,10505.92,00:46.5
18,5877.681,5879.448,5884.029,12623.961,9801.049,9877.337,11051.456,10505.57,00:46.6
19,3837.775,3851.364,3856.228,12623.915,10579.243,11759.403,12946.368,10496.47,00:46.8
20,3650.1,3650.082,3653.73,12623.946,15356.49,15353.162,16406.72,10508.033,00:46.9
21,5946.775,5946.531,5951.28,12623.953,8605.265,8242.513,9468.864,10502.06,00:47.1
22,3046.553,3043.165,3047.756,12623.912,13454.888,12600.872,13663.168,10498.771,00:47.2
23,4563.349,4562.096,4565.909,12623.957,11049.045,10975.317,12097.984,10509.199,00:47.4
24,11911.328,5544.924,5543.801,5548.439,12623.94,9547.588,8933.188,10186.176,00:47.5
25,3265.955,3262.603,3267.427,12623.912,16412.968,15484.712,16608.704,10497.971,00:47.7
26,4304.217,4302.627,4306.365,12623.954,8023.378,7876.434,9003.456,10509.005,00:47.8
27,5732.75,5764.661,5703.886,12623.944,9728.072,13379.4,14579.904,10499.531,00:48.0
28,2733.961,2734.425,2738.847,12623.915,13463.851,13210.411,14204.864,10501.037,00:48.3
29,5165.968,5165.631,5169.791,12623.961,14052.185,14031.449,15178.432,10508.944,00:48.3
30,6144.16,5211.501,5209.915,5214.589,12623.932,11249.724,10524.22,11746.24,00:48.4
31,2927.999,2924.637,2929.24,12623.914,9594.41,8823.594,9862.848,10499.935,00:48.6
32,4889.936,4905.546,4909.366,12624.105,11635.705,13724.425,14892.48,10494.947,00:48.7
33,4520.755,776.486,13596.762,12623.952,16154.164,14901.27,12359.872,10505.358,00:48.9
34,3958.595,3512.424,2989.198,12623.916,9210.153,10242.597,10969.28,10495.905,00:49.0
35,3323.297,3257.259,3195.002,12623.941,8359.749,8295.492,9205.696,10507.67,00:49.2
36,5999.2,5999.235,5938.112,12623.956,10237.012,10009.172,11177.92,10503.091,00:49.3
37,3253.578,3250.323,3255.136,12623.912,8212.264,7294.248,8420.544,10497.9,00:49.5
38,4289.141,4287.582,4291.443,12623.954,6514.002,6369.362,7450.304,10508.989,00:49.6
39,5746.997,5746.098,5750.64,12623.944,10061.384,9554.248,10712.256,10499.426,00:49.8
40,2709.833,2722.764,2727.005,12623.915,10775.339,12108.587,13059.264,10501.041,00:50.0
41,5157.513,5158.756,5163.099,12623.961,10977.113,11157.849,12360.64,10508.727,00:50.1
42,5091.723,5090.079,5094.813,12623.93,9067.578,8333.37,9523.648,10496.961,00:50.3
43,2743.199,2739.787,2743.845,12623.927,8883.767,8271.414,878.272,10504.911,00:50.4
44,5763.395,5762.948,5710.188,12623.962,13121.114,12994.138,15221.44,10506.678,00:50.6
45,4183.952,4181.131,4186.944,12623.918,8344.877,15826.989,348.608,10496.15,00:50.7
46,3325.36,3330.986,3334.828,12623.941,10006.085,10724.421,11776.704,10507.683,00:50.9
47,5995.62,5996.155,6000.832,12623.956,7645.78,7447.124,8616.384,10503.273,00:51.0
48,3296.153,3260.091,3264.842,12623.912,8997.16,12297.512,13384.896,10497.896,00:51.2
49,4287.865,4290.418,4294.247,12623.954,5614.418,5995.09,7104.448,10508.971,00:51.4
50,5759.877,5759.57,5764.257,12623.944,92.744,16403.784,837.312,10499.563,00:51.5
51,2744.166,2740.549,2745.229,12623.916,9723.436,8939.82,9979.84,10501.293,00:51.7
52,5159.285,5158.46,5162.833,12623.961,10122.073,10035.545,11242.176,10508.656,00:51.8
53,5093.183,5091.176,5096.016,12623.93,14627.642,13846.33,15049.152,10496.986,00:52.0
