Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,5871.788,5873.724,5877.909,12623.949,9358.669,9325.389,10258.624,10500.497,57:50.9
1,2730.396,2727.304,2731.104,12623.91,14787.622,13978.15,15024.32,10498.999,57:51.1
2,4689.238,4688.003,4692.793,12623.958,7510.614,7387.478,8664.256,10508.657,57:51.2
3,5211.333,5209.942,5213.512,12623.931,13481.531,12821.563,13713.088,10496.161,57:51.4
4,2260.356,2256.767,2261.088,12623.917,11121.453,10394.669,11557.568,10502.582,57:51.5
5,5421.712,5420.934,5425.993,12623.96,13938.008,13804.888,14972.864,10506.699,57:51.7
6,4123.201,4120.923,4124.2,12623.913,9461.801,225.321,1147.072,10493.912,57:51.9
7,2549.59,2554.523,2493.592,12623.93,15107.898,15616.314,108.48,10505.964,57:52.0
8,5758.63,5759.059,5763.928,12623.954,12826.194,12729.17,13717.952,10502.602,57:52.2
9,2877.528,2874.463,2877.89,12623.902,16090.91,15168.798,16154.304,10494.671,57:52.3
10,3471.187,3468.68,3407.949,12623.946,9461.066,9143.113,2044.864,10507.932,57:52.5
11,5620.017,5619.395,5631.524,12623.942,14361.414,13933.638,15815.872,10498.466,57:52.6
12,2192.236,2188.498,2193.461,12623.904,10657.568,9738.528,10975.168,10498.192,57:52.8
13,4619.962,4618.56,4623.543,12623.957,9592.405,9470.805,10724.032,10508.15,57:52.9
14,4940.961,4939.422,4943.029,12623.925,7843.637,7186.229,8037.056,10494.823,57:53.1
15,2006.16,2002.292,2006.576,12623.915,10181.163,9388.075,10565.824,10537.678,57:53.2
16,121.407,12056.423,13306.981,12623.916,15764.487,11.93,14830.016,10504.387,57:53.4
17,5409.873,4820.817,3052.689,12623.947,11675.975,11488.057,12031.168,10500.572,57:53.6
18,2489.766,2421.077,2227.775,12623.901,12110.109,11167.259,12197.312,10495.714,57:53.7
19,3931.087,3928.935,3868.491,12623.951,12891.471,12675.407,13984.192,10508.199,57:53.9
20,5366.412,5365.347,5369.177,12623.935,9068.606,159.806,995.52,10496.711,57:54.0
21,2018.235,1956.978,1961.113,12623.907,14855.714,14961.954,16171.456,10499.801,57:54.2
22,4951.464,4951.171,4956.294,12623.958,14003.798,13936.214,15164.096,10507.498,57:54.3
23,4499.357,4497.564,4500.888,12623.918,13476.654,12682.03,13597.888,10493.828,57:54.5
24,2130.596,2126.96,2147.635,12623.921,6991.665,6335.025,9652.416,10504.083,57:54.7
25,5604.722,5604.263,5611.13,12623.958,13737.558,13603.926,14903.488,10504.64,57:54.8
26,3447.212,3444.323,3448.17,12623.906,7698.722,6719.266,7756.992,10493.562,57:55.0
27,2907.228,2904.247,2909.006,12623.938,10514.754,10080.578,11371.2,10507.168,57:55.1
28,5752.461,5751.976,5756.327,12623.949,10851.917,10526.029,11452.864,10500.548,57:55.3
29,2467.971,2464.608,2468.282,12623.901,10593.565,9665.565,10736.32,10495.953,57:55.4
30,3986.612,3984.81,3989.616,12623.951,12953.935,12752.207,13986.496,10508.157,57:55.6
31,5348.692,5347.485,5351.293,12623.934,8034.366,7454.27,8360.896,10496.402,57:55.7
32,1952.61,1948.779,1952.983,12623.907,8022.307,15496.739,16698.56,10500.042,57:55.9
33,5030.772,5037.731,5042.786,12623.959,11645.015,12565.591,13779.136,10507.415,57:56.1
34,4439.727,4438.878,4442.243,12623.917,15510.061,14895.661,15762.88,10493.444,57:56.2
35,2162.037,2158.399,2097.447,12623.922,12354.61,11689.522,12931.52,10504.349,57:56.4
36,5662.573,5661.79,5666.655,12623.958,4819.03,4600.15,14063.04,10504.373,57:56.5
37,3328.441,3325.505,3337.154,12623.905,12887.841,11965.985,14008.512,10493.567,57:56.7
38,2978.422,2975.616,2981.215,12623.939,12670.275,12273.475,13660.608,10507.189,57:56.8
39,5742.202,5741.627,5745.987,12623.948,8106.06,7746.892,8688.064,10500.035,57:57.0
40,2408.118,2404.45,2408.332,12623.901,10581.021,9587.741,10654.4,10496.176,57:57.2
41,4091.511,4089.657,4094.617,12623.952,12232.272,12025.424,13340.608,10508.186,57:57.3
42,5289.069,5287.763,5291.621,12623.933,13921.341,13315.389,14244.032,10496.158,57:57.5
43,4767.904,1933.654,1929.861,1934.188,12623.908,6580.004,5679.396,6898.368,57:57.6
